term,vif
footfall,6.433236955135421
staff_count,6.362591113984538
store_type_High Street,3.271083246317165
store_type_Residential,3.175289176764412
store_type_Mall,2.8201554066299277
region_West,1.4121911921041292
region_North,1.378633757171093
region_South,1.3448377500276756
marketing_spend,1.068473316035453
holiday_flag,1.0642190756963916
avg_discount_pct,1.0581682017634206
customer_rating,1.0578328348814126
competitor_distance_km,1.0456064382706922
inventory_availability_pct,1.0374454515092602
